S1,S2,S3,S4,S5,T,RH,AH
0.013097125342286534,0.07964190591939577,0.2944523878791305,0.05491592760977415,0.10011841655115691,0.22803389934109863,0.14378705687443555,0.5836880201415788
0.016427675963798277,0.03548715664719368,0.20364179565967522,0.034008585727290486,0.04648508671266042,0.2239879889087881,0.19083015998341546,0.5820333586309032
0.09647198494877324,0.03189090007850061,0.09844776991727094,0.11499816792557731,0.022231622643168032,0.045085413409273224,0.06441555651412306,0.2685795825780388
0.12409317207072235,0.03451933736543267,0.08255304765525696,0.19482764351167237,0.03455024933902584,0.040706933100728995,0.03319038182512383,0.1908338670402731
0.04238504293095916,0.047928346903066826,0.14885984025828425,0.13727666496325686,0.09178779672295936,0.09937101714488814,0.0803505847380733,0.1865058785895494
0.022814937217602263,0.04147302678585994,0.1399293502857932,0.06183756512320994,0.06674371356641982,0.07199884647083432,0.21518200341906008,0.13971176271554558
0.026830665961711242,0.018534662621954218,0.11573060831401205,0.07106022676898507,0.03612644391587766,0.07352677051617712,0.21038255196633365,0.3504607516962183
0.05773816553233312,0.02277588579007418,0.06805697715248718,0.2389006659816526,0.045280726186338625,0.06989418707649078,0.06024219599058468,0.14586662306680379
0.12478495154428593,0.025079347127153304,0.030041077355261406,0.3319399561358726,0.029131713845138303,0.24121363461875192,0.09423588074203122,0.27582035549499617
0.01984126234976726,0.00915769661948823,0.12637463938986912,0.17515229005926908,0.06643801225244844,0.18239473795735475,0.09168347177778813,0.06516213668851092
0.08111535881270904,0.05352538696250369,0.05836873587376129,0.34884585641138266,0.033400496311578876,0.2305199004813682,0.03837419283484672,0.2826049479234123
0.016532193199531975,0.02485834098281831,0.2111881235107135,0.10057597662459875,0.04522832322708699,0.12646141442839282,0.15109806632250766,0.09377749969565258
0.025326268866186732,0.030189168432290175,0.1372555028870652,0.17220553558857865,0.047726355543594175,0.2916680259156659,0.1148364214366159,0.14145435984312282
0.06681064988736456,0.033627118660879696,0.08073708921224929,0.29705543007408775,0.05233602744157829,0.2816355180306226,0.054128986218838,0.30434426910008083
0.13836045860554497,0.07437661780172751,0.032232927024704594,0.3950677182757282,0.08224174605982093,0.39235127571908646,0.07872113090632354,0.50361983708647
0.07349293894190116,0.047438955342198386,0.06245100400486729,0.3713636242319705,0.026653779760345633,0.2780962226019045,0.052200433663107226,0.48380546641737854
0.040684742930505946,0.02211748448087415,0.15963700549033905,0.23983168625402002,0.056725480299308864,0.18056809825459486,0.06602564853002696,0.23003891233744883
0.07235250059202453,0.045616420260475354,0.07285920884142888,0.3597947080103524,0.021337187590482115,0.3557861067076479,0.1025897788952643,0.3318519038284181
0.12882584815991188,0.0664677355468028,0.03506276974086438,0.3734974787596719,0.05450939662334832,0.3899030309953162,0.1073391446211448,0.337984346412589
