window,n_samples,RMSE,MAE,JSD,SPD,CAL,T,RH,AH,JSD_z,SPD_z,CAL_z,DS,t
29,167,3.2926382693436547,2.7893471161980665,0.15703834017648224,2.5731443030907233,2.635350581361175,22.42814371257485,55.691017964071854,1.468634131736527,0.8179274418856844,0.516930479948681,0.6265577664262194,0.6538052294201949,25
30,168,3.173913531491831,2.6750808982667458,0.11825948488420868,1.28781515127503,2.068579658342644,21.21011904761905,58.544642857142854,1.45895,0.014664100213958906,-0.36013604454424,0.2148803253216269,-0.04353053966955139,26
31,168,2.9928229463336296,2.3435964326318515,0.10784921195213315,0.7020329567333423,1.688419920135658,18.13035714285714,61.266666666666666,1.2492047619047622,-0.20097379214022337,-0.7598546323866987,-0.0612509684337637,-0.34069313098689524,27
32,168,3.4285194449789143,2.702356800698874,0.1872168424573571,2.2496651834967487,2.6941075600593294,21.01607142857143,64.98511904761905,1.5812166666666667,1.4430434853087928,0.2961989212132891,0.6692362484285546,0.8028262183168788,28
33,168,3.720265123070471,3.0786101790290363,0.16661272602921562,2.063235809197158,3.009919800435936,20.104761904761908,68.19821428571429,1.5753630952380953,1.0162508095188036,0.16898562090857597,0.8986283532587085,0.6946215945620294,29
34,168,4.081347005944943,3.272910039664725,0.09276512475184065,0.16862692841774152,1.1048316274347414,14.98154761904762,59.80476190476191,1.0406797619047619,-0.5134248482442129,-1.1238334394786118,-0.485143806334088,-0.7074673646856375,30
35,168,3.630328856345761,2.7585109681665476,0.09190932898852952,2.4216624812718894,0.6695604574140575,12.798214285714288,51.546428571428564,0.762379761904762,-0.5311517604865855,0.41356424508283435,-0.8013056173641475,-0.30629771092263286,31
36,168,6.747284818481495,4.42049472651681,0.10430814653137965,0.3519103464057274,2.950622762930678,10.861309523809522,54.80059523809524,0.7252791666666667,-0.2743232507953214,-0.9987668367451226,0.855557596320019,-0.13917749707347501,32
37,168,4.608576947302824,3.7675188562746627,0.09496140069804065,0.6618590177859316,2.970373976083195,12.010119047619048,70.61369047619047,0.9838107142857143,-0.46793129402552114,-0.7872680128099327,0.8699040078226321,-0.12843176633760725,33
38,168,3.388643725716831,2.5798974808893904,0.11283158522015867,1.1859093791148068,1.2909992327016369,14.06011904761905,70.3470238095238,1.1157482142857142,-0.09776915212271733,-0.42967320651405627,-0.3499198556333927,-0.29245407142338875,34
39,143,4.469253368579548,3.4600265113022317,0.08859442834709562,2.0194958362088657,1.3601972975745191,12.258741258741258,48.38601398601398,0.6703405594405595,-0.5998164527906534,0.1391388956273022,-0.2996574283999364,-0.2534449951877626,35
40,118,3.9264191507987114,3.0837738930735346,0.14403086460793638,4.146122619287111,0.05898121684217372,8.213559322033898,49.40762711864408,0.540064406779661,0.548491219151558,1.590279375008145,-1.244803491269722,0.2979890342966603,36
41,163,4.757993867989966,3.7951635918241444,0.09202553088681198,3.5415678474542918,0.720212078090384,9.803680981595091,62.94233128834355,0.7823705521472392,-0.5287447599596369,1.1777509951390692,-0.7645145105148838,-0.0385027584451505,37
42,116,3.418952512192687,3.014363604115335,0.14084435945144536,4.373384001827137,1.3938049386644566,8.677586206896551,49.8948275862069,0.5563482758620689,0.4824861047415112,1.745355100672865,-0.27524631780205794,0.6508649625374393,38
43,168,3.789517318740199,3.2283089900730304,0.09621499224891282,3.4183714512971015,1.0808478232152616,12.148809523809524,65.16904761904762,0.916747619047619,-0.4419644589898916,1.0936858085251944,-0.5025645856084442,0.049718921308952835,39
44,168,5.426037647131794,4.599883009410424,0.12008270481413993,2.44396761846858,2.2384562015400675,7.526785714285714,62.95595238095238,0.6569660714285716,0.05243019007094519,0.42878454031367375,0.3382711659010094,0.2731619654285428,40
45,168,4.969536386425705,4.243885256744629,0.14633438607821264,3.6568699236431845,0.03151986141700469,7.479166666666667,51.707142857142856,0.5345464285714285,0.5962062519930598,1.2564293563097892,-1.2647502106082644,0.1959617992315282,41
46,159,4.769787631755631,4.093217703377204,0.21212146393492576,4.398854574837376,1.3690744288721923,5.461006289308178,43.43018867924528,0.38556729559748426,1.9589166156620526,1.7627353856491885,-0.2932094711238076,1.1428141767291444,42
47,143,4.771794051826911,4.131686468287279,0.17443780312045915,4.187474638828842,1.4492804413196918,6.878321678321678,43.218181818181826,0.4181132867132867,1.1783390796798754,1.6184966390521418,-0.23495135549971072,0.8539614544107689,43
48,117,4.456628131031574,3.597031065603936,0.12445363232213984,4.077316978527474,0.07223215200291477,9.544444444444443,47.01025641025641,0.5587034188034189,0.142969372050884,1.543328658826757,-1.2351785954649694,0.15037314513755717,44
49,168,4.505370036650525,3.9404378434540708,0.17027347684076172,4.587850093382295,1.4768968878372233,6.709523809523809,58.221428571428575,0.5613970238095238,1.0920794255970065,1.8916997387573167,-0.214891984821008,0.9229623931777717,45
50,168,4.037352210833264,3.702644001958871,0.18669871885745615,4.419130957900036,1.3890920276156713,4.854166666666667,53.10178571428572,0.46926190476190477,1.432311098003427,1.7765713254914712,-0.2786695688580301,0.9767376182122893,46
51,168,4.724958011240867,3.985896037490105,0.14765269758337446,4.305725127094464,0.41626028143156013,7.330357142857143,49.69345238095238,0.49162976190476193,0.6235136930461626,1.6991869000768847,-0.9852917112950954,0.4458029606093173,47
52,167,4.463216587538063,3.719628234822236,0.07894184723091222,3.247147569000755,0.4873428184483508,13.56826347305389,48.726347305389226,0.7168281437125748,-0.7997595533464794,0.9768482380525255,-0.9336604864777663,-0.2521906005905734,48
53,168,3.6645709939634536,2.939653825147079,0.07135312933801077,2.7592361109866452,0.1122177974948606,16.605357142857144,50.16011904761905,0.8900184523809523,-0.9569518904516585,0.6439134359933009,-1.2061347833206026,-0.5063910792596534,49
54,168,2.454465552560966,1.7070352847664292,0.10278616179821291,2.0889936316999433,0.0575596472876736,17.298809523809524,59.342261904761905,1.1293154761904762,-0.3058495692882876,0.18656191553249424,-1.2458360567962525,-0.455041236850682,50
55,117,5.152120459870282,4.656428499755831,0.12093134530952461,4.532644458864514,4.141436667550288,16.904273504273505,39.422222222222224,0.712591452991453,0.07000888843795097,1.8540292214967855,1.7205123799470203,1.214850163293919,51
